run_id,step_no,qty,amount,buy_amount
Q2nD53czjdlzN1l,1373,0.0,0.0,0.0
Q2nD53czjdlzN1l,1374,0.0,0.0,0.0
Q2nD53czjdlzN1l,1375,0.0,0.0,0.0
Q2nD53czjdlzN1l,1376,0.0,0.0,0.0
Q2nD53czjdlzN1l,1377,0.0,0.0,0.0
Q2nD53czjdlzN1l,1378,0.0,0.0,0.0
Q2nD53czjdlzN1l,1379,0.0,0.0,0.0
Q2nD53czjdlzN1l,1380,0.0,0.0,0.0
Q2nD53czjdlzN1l,1381,0.0,0.0,0.0
Q2nD53czjdlzN1l,1382,0.0,0.0,0.0
Q2nD53czjdlzN1l,1383,0.0,0.0,0.0
Q2nD53czjdlzN1l,1384,0.0,0.0,0.0
Q2nD53czjdlzN1l,1385,0.0,0.0,0.0
Q2nD53czjdlzN1l,1386,0.0,0.0,0.0
Q2nD53czjdlzN1l,1387,0.0,0.0,0.0
Q2nD53czjdlzN1l,1388,0.0,0.0,0.0
Q2nD53czjdlzN1l,1389,0.0,0.0,0.0
Q2nD53czjdlzN1l,1390,0.0,0.0,0.0
Q2nD53czjdlzN1l,1391,0.0,0.0,0.0
Q2nD53czjdlzN1l,1392,0.0,0.0,0.0
Q2nD53czjdlzN1l,1393,0.0,0.0,0.0
Q2nD53czjdlzN1l,1394,0.0,0.0,0.0
Q2nD53czjdlzN1l,1395,0.0,0.0,0.0
Q2nD53czjdlzN1l,1396,0.0,0.0,0.0
Q2nD53czjdlzN1l,1397,0.0,0.0,0.0
Q2nD53czjdlzN1l,1398,0.0,0.0,0.0
Q2nD53czjdlzN1l,1399,0.0,0.0,0.0
Q2nD53czjdlzN1l,1400,0.0,0.0,0.0
Q2nD53czjdlzN1l,1401,0.0,0.0,0.0
Q2nD53czjdlzN1l,1402,0.0,0.0,0.0
Q2nD53czjdlzN1l,1403,0.0,0.0,0.0
Q2nD53czjdlzN1l,1404,0.0,0.0,0.0
Q2nD53czjdlzN1l,1405,0.0,0.0,0.0
Q2nD53czjdlzN1l,1406,0.0,0.0,0.0
Q2nD53czjdlzN1l,1407,0.0,0.0,0.0
Q2nD53czjdlzN1l,1408,0.0,0.0,0.0
Q2nD53czjdlzN1l,1409,0.0,0.0,0.0
Q2nD53czjdlzN1l,1410,0.0,0.0,0.0
Q2nD53czjdlzN1l,1411,0.0,0.0,0.0
Q2nD53czjdlzN1l,1412,0.0,0.0,0.0
Q2nD53czjdlzN1l,1413,0.0,0.0,0.0
Q2nD53czjdlzN1l,1414,0.0,0.0,0.0
Q2nD53czjdlzN1l,1415,0.0,0.0,0.0
Q2nD53czjdlzN1l,1416,0.0,0.0,0.0
Q2nD53czjdlzN1l,1417,0.0,0.0,0.0
Q2nD53czjdlzN1l,1418,0.0,0.0,0.0
Q2nD53czjdlzN1l,1419,0.0,0.0,0.0
Q2nD53czjdlzN1l,1420,0.0,0.0,0.0
Q2nD53czjdlzN1l,1421,0.0,0.0,0.0
Q2nD53czjdlzN1l,1422,0.0,0.0,0.0
Q2nD53czjdlzN1l,1423,0.0,0.0,0.0
Q2nD53czjdlzN1l,1424,0.0,0.0,0.0
Q2nD53czjdlzN1l,1425,0.0,0.0,0.0
Q2nD53czjdlzN1l,1426,0.0,0.0,0.0
Q2nD53czjdlzN1l,1427,0.0,0.0,0.0
Q2nD53czjdlzN1l,1428,0.0,0.0,0.0
Q2nD53czjdlzN1l,1429,0.0,0.0,0.0
Q2nD53czjdlzN1l,1430,0.0,0.0,0.0
Q2nD53czjdlzN1l,1431,0.0,0.0,0.0
Q2nD53czjdlzN1l,1432,0.0,0.0,0.0
Q2nD53czjdlzN1l,1433,0.0,0.0,0.0
Q2nD53czjdlzN1l,1434,0.0,0.0,0.0
Q2nD53czjdlzN1l,1435,0.0,0.0,0.0
Q2nD53czjdlzN1l,1436,0.0,0.0,0.0
Q2nD53czjdlzN1l,1437,0.0,0.0,0.0
Q2nD53czjdlzN1l,1438,0.0,0.0,0.0
Q2nD53czjdlzN1l,1439,0.0,0.0,0.0
Q2nD53czjdlzN1l,1440,0.0,0.0,0.0
Q2nD53czjdlzN1l,1441,0.0,0.0,0.0
Q2nD53czjdlzN1l,1442,0.0,0.0,0.0
Q2nD53czjdlzN1l,1443,0.0,0.0,0.0
Q2nD53czjdlzN1l,1444,0.0,0.0,0.0
Q2nD53czjdlzN1l,1445,0.0,0.0,0.0
Q2nD53czjdlzN1l,1446,0.0,0.0,0.0
Q2nD53czjdlzN1l,1447,0.0,0.0,0.0
Q2nD53czjdlzN1l,1448,0.0,0.0,0.0
Q2nD53czjdlzN1l,1449,0.0,0.0,0.0
Q2nD53czjdlzN1l,1450,0.0,0.0,0.0
Q2nD53czjdlzN1l,1451,0.0,0.0,0.0
Q2nD53czjdlzN1l,1452,0.0,0.0,0.0
Q2nD53czjdlzN1l,1453,0.0,0.0,0.0
Q2nD53czjdlzN1l,1454,0.0,0.0,0.0
Q2nD53czjdlzN1l,1455,0.0,0.0,0.0
Q2nD53czjdlzN1l,1456,0.0,0.0,0.0
Q2nD53czjdlzN1l,1457,0.0,0.0,0.0
Q2nD53czjdlzN1l,1458,0.0,0.0,0.0
Q2nD53czjdlzN1l,1459,0.0,0.0,0.0
Q2nD53czjdlzN1l,1460,0.0,0.0,0.0
Q2nD53czjdlzN1l,1461,0.0,0.0,0.0
Q2nD53czjdlzN1l,1462,0.0,0.0,0.0
Q2nD53czjdlzN1l,1463,0.0,0.0,0.0
Q2nD53czjdlzN1l,1464,0.0,0.0,0.0
Q2nD53czjdlzN1l,1465,0.0,0.0,0.0
Q2nD53czjdlzN1l,1466,0.0,0.0,0.0
Q2nD53czjdlzN1l,1467,0.0,0.0,0.0
Q2nD53czjdlzN1l,1468,0.0,0.0,0.0
Q2nD53czjdlzN1l,1469,0.0,0.0,0.0
Q2nD53czjdlzN1l,1470,0.0,0.0,0.0
Q2nD53czjdlzN1l,1471,0.0,0.0,0.0
Q2nD53czjdlzN1l,1472,0.0,0.0,0.0
Q2nD53czjdlzN1l,1473,0.0,0.0,0.0
Q2nD53czjdlzN1l,1474,0.0,0.0,0.0
Q2nD53czjdlzN1l,1475,0.0,0.0,0.0
Q2nD53czjdlzN1l,1476,0.0,0.0,0.0
Q2nD53czjdlzN1l,1477,0.0,0.0,0.0
Q2nD53czjdlzN1l,1478,0.0,0.0,0.0
Q2nD53czjdlzN1l,1479,0.0,0.0,0.0
Q2nD53czjdlzN1l,1480,0.0,0.0,0.0
Q2nD53czjdlzN1l,1481,0.0,0.0,0.0
Q2nD53czjdlzN1l,1482,0.0,0.0,0.0
Q2nD53czjdlzN1l,1483,0.0,0.0,0.0
Q2nD53czjdlzN1l,1484,0.0,0.0,0.0
Q2nD53czjdlzN1l,1485,0.0,0.0,0.0
Q2nD53czjdlzN1l,1486,0.0,0.0,0.0
Q2nD53czjdlzN1l,1487,0.0,0.0,0.0
Q2nD53czjdlzN1l,1488,0.0,0.0,0.0
Q2nD53czjdlzN1l,1489,0.0,0.0,0.0
Q2nD53czjdlzN1l,1490,0.0,0.0,0.0
Q2nD53czjdlzN1l,1491,0.0,0.0,0.0
Q2nD53czjdlzN1l,1492,0.0,0.0,0.0
Q2nD53czjdlzN1l,1493,0.0,0.0,0.0
Q2nD53czjdlzN1l,1494,0.0,0.0,0.0
Q2nD53czjdlzN1l,1495,0.0,0.0,0.0
Q2nD53czjdlzN1l,1496,0.0,0.0,0.0
Q2nD53czjdlzN1l,1497,0.0,0.0,0.0
Q2nD53czjdlzN1l,1498,0.0,0.0,0.0
Q2nD53czjdlzN1l,1499,0.0,0.0,0.0
Q2nD53czjdlzN1l,1500,0.0,0.0,0.0
Q2nD53czjdlzN1l,1501,0.0,0.0,0.0
Q2nD53czjdlzN1l,1502,0.0,0.0,0.0
Q2nD53czjdlzN1l,1503,0.0,0.0,0.0
Q2nD53czjdlzN1l,1504,0.0,0.0,0.0
Q2nD53czjdlzN1l,1505,0.0,0.0,0.0
Q2nD53czjdlzN1l,1506,0.0,0.0,0.0
Q2nD53czjdlzN1l,1507,0.0,0.0,0.0
Q2nD53czjdlzN1l,1508,0.0,0.0,0.0
Q2nD53czjdlzN1l,1509,0.0,0.0,0.0
Q2nD53czjdlzN1l,1510,0.0,0.0,0.0
Q2nD53czjdlzN1l,1511,0.0,0.0,0.0
Q2nD53czjdlzN1l,1512,0.0,0.0,0.0
Q2nD53czjdlzN1l,1513,0.0,0.0,0.0
Q2nD53czjdlzN1l,1514,0.0,0.0,0.0
Q2nD53czjdlzN1l,1515,0.0,0.0,0.0
Q2nD53czjdlzN1l,1516,0.0,0.0,0.0
Q2nD53czjdlzN1l,1517,0.0,0.0,0.0
Q2nD53czjdlzN1l,1518,0.0,0.0,0.0
Q2nD53czjdlzN1l,1519,0.0,0.0,0.0
Q2nD53czjdlzN1l,1520,0.0,0.0,0.0
Q2nD53czjdlzN1l,1521,0.0,0.0,0.0
Q2nD53czjdlzN1l,1522,0.0,0.0,0.0
Q2nD53czjdlzN1l,1523,0.0,0.0,0.0
Q2nD53czjdlzN1l,1524,0.0,0.0,0.0
Q2nD53czjdlzN1l,1525,0.0,0.0,0.0
Q2nD53czjdlzN1l,1526,0.0,0.0,0.0
Q2nD53czjdlzN1l,1527,0.0,0.0,0.0
Q2nD53czjdlzN1l,1528,0.0,0.0,0.0
Q2nD53czjdlzN1l,1529,0.0,0.0,0.0
Q2nD53czjdlzN1l,1530,0.0,0.0,0.0
Q2nD53czjdlzN1l,1531,0.0,0.0,0.0
Q2nD53czjdlzN1l,1532,0.0,0.0,0.0
Q2nD53czjdlzN1l,1533,0.0,0.0,0.0
Q2nD53czjdlzN1l,1534,0.0,0.0,0.0
Q2nD53czjdlzN1l,1535,0.0,0.0,0.0
Q2nD53czjdlzN1l,1536,0.0,0.0,0.0
Q2nD53czjdlzN1l,1537,0.0,0.0,0.0
Q2nD53czjdlzN1l,1538,0.0,0.0,0.0
Q2nD53czjdlzN1l,1539,0.0,0.0,0.0
Q2nD53czjdlzN1l,1540,0.0,0.0,0.0
Q2nD53czjdlzN1l,1541,0.0,0.0,0.0
Q2nD53czjdlzN1l,1542,0.0,0.0,0.0
Q2nD53czjdlzN1l,1543,0.0,0.0,0.0
Q2nD53czjdlzN1l,1544,0.0,0.0,0.0
Q2nD53czjdlzN1l,1545,0.0,0.0,0.0
Q2nD53czjdlzN1l,1546,0.0,0.0,0.0
Q2nD53czjdlzN1l,1547,0.0,0.0,0.0
Q2nD53czjdlzN1l,1548,0.0,0.0,0.0
Q2nD53czjdlzN1l,1549,0.0,0.0,0.0
Q2nD53czjdlzN1l,1550,0.0,0.0,0.0
Q2nD53czjdlzN1l,1551,0.0,0.0,0.0
Q2nD53czjdlzN1l,1552,0.0,0.0,0.0
Q2nD53czjdlzN1l,1553,0.0,0.0,0.0
Q2nD53czjdlzN1l,1554,0.0,0.0,0.0
Q2nD53czjdlzN1l,1555,0.0,0.0,0.0
Q2nD53czjdlzN1l,1556,0.0,0.0,0.0
Q2nD53czjdlzN1l,1557,0.0,0.0,0.0
Q2nD53czjdlzN1l,1558,0.0,0.0,0.0
Q2nD53czjdlzN1l,1559,0.0,0.0,0.0
Q2nD53czjdlzN1l,1560,0.0,0.0,0.0
Q2nD53czjdlzN1l,1561,0.0,0.0,0.0
Q2nD53czjdlzN1l,1562,0.0,0.0,0.0
Q2nD53czjdlzN1l,1563,0.0,0.0,0.0
Q2nD53czjdlzN1l,1564,0.0,0.0,0.0
Q2nD53czjdlzN1l,1565,0.0,0.0,0.0
Q2nD53czjdlzN1l,1566,0.0,0.0,0.0
Q2nD53czjdlzN1l,1567,0.0,0.0,0.0
Q2nD53czjdlzN1l,1568,0.0,0.0,0.0
Q2nD53czjdlzN1l,1569,0.0,0.0,0.0
Q2nD53czjdlzN1l,1570,0.0,0.0,0.0
Q2nD53czjdlzN1l,1571,0.0,0.0,0.0
Q2nD53czjdlzN1l,1572,0.0,0.0,0.0
Q2nD53czjdlzN1l,1573,0.0,0.0,0.0
Q2nD53czjdlzN1l,1574,0.0,0.0,0.0
Q2nD53czjdlzN1l,1575,0.0,0.0,0.0
Q2nD53czjdlzN1l,1576,0.0,0.0,0.0
Q2nD53czjdlzN1l,1577,0.0,0.0,0.0
Q2nD53czjdlzN1l,1578,0.0,0.0,0.0
Q2nD53czjdlzN1l,1579,0.0,0.0,0.0
Q2nD53czjdlzN1l,1580,0.0,0.0,0.0
Q2nD53czjdlzN1l,1581,0.0,0.0,0.0
Q2nD53czjdlzN1l,1582,0.0,0.0,0.0
Q2nD53czjdlzN1l,1583,0.0,0.0,0.0
Q2nD53czjdlzN1l,1584,0.0,0.0,0.0
Q2nD53czjdlzN1l,1585,0.0,0.0,0.0
Q2nD53czjdlzN1l,1586,0.0,0.0,0.0
Q2nD53czjdlzN1l,1587,0.0,0.0,0.0
Q2nD53czjdlzN1l,1588,0.0,0.0,0.0
Q2nD53czjdlzN1l,1589,0.0,0.0,0.0
Q2nD53czjdlzN1l,1590,0.0,0.0,0.0
Q2nD53czjdlzN1l,1591,0.0,0.0,0.0
Q2nD53czjdlzN1l,1592,0.0,0.0,0.0
Q2nD53czjdlzN1l,1593,0.0,0.0,0.0
Q2nD53czjdlzN1l,1594,0.0,0.0,0.0
Q2nD53czjdlzN1l,1595,0.0,0.0,0.0
Q2nD53czjdlzN1l,1596,0.0,0.0,0.0
Q2nD53czjdlzN1l,1597,0.0,0.0,0.0
Q2nD53czjdlzN1l,1598,0.0,0.0,0.0
Q2nD53czjdlzN1l,1599,0.0,0.0,0.0
Q2nD53czjdlzN1l,1600,0.0,0.0,0.0
Q2nD53czjdlzN1l,1601,0.0,0.0,0.0
Q2nD53czjdlzN1l,1602,0.0,0.0,0.0
Q2nD53czjdlzN1l,1603,0.0,0.0,0.0
Q2nD53czjdlzN1l,1604,0.0,0.0,0.0
Q2nD53czjdlzN1l,1605,0.0,0.0,0.0
Q2nD53czjdlzN1l,1606,0.0,0.0,0.0
Q2nD53czjdlzN1l,1607,0.0,0.0,0.0
Q2nD53czjdlzN1l,1608,0.0,0.0,0.0
Q2nD53czjdlzN1l,1609,0.0,0.0,0.0
Q2nD53czjdlzN1l,1610,0.0,0.0,0.0
Q2nD53czjdlzN1l,1611,0.0,0.0,0.0
Q2nD53czjdlzN1l,1612,0.0,0.0,0.0
Q2nD53czjdlzN1l,1613,0.0,0.0,0.0
Q2nD53czjdlzN1l,1614,0.0,0.0,0.0
Q2nD53czjdlzN1l,1615,0.0,0.0,0.0
Q2nD53czjdlzN1l,1616,0.0,0.0,0.0
Q2nD53czjdlzN1l,1617,0.0,0.0,0.0
Q2nD53czjdlzN1l,1618,0.0,0.0,0.0
Q2nD53czjdlzN1l,1619,0.0,0.0,0.0
Q2nD53czjdlzN1l,1620,0.0,0.0,0.0
Q2nD53czjdlzN1l,1621,0.0,0.0,0.0
Q2nD53czjdlzN1l,1622,0.0,0.0,0.0
Q2nD53czjdlzN1l,1623,0.0,0.0,0.0
Q2nD53czjdlzN1l,1624,0.0,0.0,0.0
Q2nD53czjdlzN1l,1625,0.0,0.0,0.0
Q2nD53czjdlzN1l,1626,0.0,0.0,0.0
Q2nD53czjdlzN1l,1627,0.0,0.0,0.0
Q2nD53czjdlzN1l,1628,0.0,0.0,0.0
Q2nD53czjdlzN1l,1629,0.0,0.0,0.0
Q2nD53czjdlzN1l,1630,0.0,0.0,0.0
Q2nD53czjdlzN1l,1631,0.0,0.0,0.0
Q2nD53czjdlzN1l,1632,0.0,0.0,0.0
Q2nD53czjdlzN1l,1633,0.0,0.0,0.0
Q2nD53czjdlzN1l,1634,0.0,0.0,0.0
Q2nD53czjdlzN1l,1635,0.0,0.0,0.0
Q2nD53czjdlzN1l,1636,0.0,0.0,0.0
Q2nD53czjdlzN1l,1637,0.0,0.0,0.0
Q2nD53czjdlzN1l,1638,0.0,0.0,0.0
Q2nD53czjdlzN1l,1639,0.0,0.0,0.0
Q2nD53czjdlzN1l,1640,0.0,0.0,0.0
Q2nD53czjdlzN1l,1641,0.0,0.0,0.0
Q2nD53czjdlzN1l,1642,0.0,0.0,0.0
Q2nD53czjdlzN1l,1643,0.0,0.0,0.0
Q2nD53czjdlzN1l,1644,0.0,0.0,0.0
Q2nD53czjdlzN1l,1645,0.0,0.0,0.0
Q2nD53czjdlzN1l,1646,0.0,0.0,0.0
Q2nD53czjdlzN1l,1647,0.0,0.0,0.0
Q2nD53czjdlzN1l,1648,0.0,0.0,0.0
Q2nD53czjdlzN1l,1649,0.0,0.0,0.0
Q2nD53czjdlzN1l,1650,0.0,0.0,0.0
Q2nD53czjdlzN1l,1651,0.0,0.0,0.0
Q2nD53czjdlzN1l,1652,0.0,0.0,0.0
Q2nD53czjdlzN1l,1653,0.0,0.0,0.0
Q2nD53czjdlzN1l,1654,0.0,0.0,0.0
Q2nD53czjdlzN1l,1655,0.0,0.0,0.0
Q2nD53czjdlzN1l,1656,0.0,0.0,0.0
Q2nD53czjdlzN1l,1657,0.0,0.0,0.0
Q2nD53czjdlzN1l,1658,0.0,0.0,0.0
Q2nD53czjdlzN1l,1659,0.0,0.0,0.0
Q2nD53czjdlzN1l,1660,0.0,0.0,0.0
Q2nD53czjdlzN1l,1661,0.0,0.0,0.0
Q2nD53czjdlzN1l,1662,0.0,0.0,0.0
Q2nD53czjdlzN1l,1663,0.0,0.0,0.0
Q2nD53czjdlzN1l,1664,0.0,0.0,0.0
Q2nD53czjdlzN1l,1665,0.0,0.0,0.0
Q2nD53czjdlzN1l,1666,0.0,0.0,0.0
Q2nD53czjdlzN1l,1667,0.0,0.0,0.0
Q2nD53czjdlzN1l,1668,0.0,0.0,0.0
Q2nD53czjdlzN1l,1669,0.0,0.0,0.0
Q2nD53czjdlzN1l,1670,0.0,0.0,0.0
Q2nD53czjdlzN1l,1671,0.0,0.0,0.0
Q2nD53czjdlzN1l,1672,0.0,0.0,0.0
Q2nD53czjdlzN1l,1673,0.0,0.0,0.0
Q2nD53czjdlzN1l,1674,0.0,0.0,0.0
Q2nD53czjdlzN1l,1675,0.0,0.0,0.0
Q2nD53czjdlzN1l,1676,0.0,0.0,0.0
Q2nD53czjdlzN1l,1677,0.0,0.0,0.0
Q2nD53czjdlzN1l,1678,0.0,0.0,0.0
Q2nD53czjdlzN1l,1679,0.0,0.0,0.0
Q2nD53czjdlzN1l,1680,0.0,0.0,0.0
Q2nD53czjdlzN1l,1681,0.0,0.0,0.0
Q2nD53czjdlzN1l,1682,0.0,0.0,0.0
Q2nD53czjdlzN1l,1683,0.0,0.0,0.0
Q2nD53czjdlzN1l,1684,0.0,0.0,0.0
Q2nD53czjdlzN1l,1685,0.0,0.0,0.0
Q2nD53czjdlzN1l,1686,0.0,0.0,0.0
Q2nD53czjdlzN1l,1687,0.0,0.0,0.0
Q2nD53czjdlzN1l,1688,0.0,0.0,0.0
Q2nD53czjdlzN1l,1689,0.0,0.0,0.0
Q2nD53czjdlzN1l,1690,0.0,0.0,0.0
Q2nD53czjdlzN1l,1691,0.0,0.0,0.0
Q2nD53czjdlzN1l,1692,0.0,0.0,0.0
Q2nD53czjdlzN1l,1693,0.0,0.0,0.0
Q2nD53czjdlzN1l,1694,0.0,0.0,0.0
Q2nD53czjdlzN1l,1695,0.0,0.0,0.0
Q2nD53czjdlzN1l,1696,0.0,0.0,0.0
Q2nD53czjdlzN1l,1697,0.0,0.0,0.0
Q2nD53czjdlzN1l,1698,0.0,0.0,0.0
Q2nD53czjdlzN1l,1699,0.0,0.0,0.0
Q2nD53czjdlzN1l,1700,0.0,0.0,0.0
Q2nD53czjdlzN1l,1701,0.0,0.0,0.0
Q2nD53czjdlzN1l,1702,0.0,0.0,0.0
Q2nD53czjdlzN1l,1703,0.0,0.0,0.0
Q2nD53czjdlzN1l,1704,0.0,0.0,0.0
Q2nD53czjdlzN1l,1705,0.0,0.0,0.0
Q2nD53czjdlzN1l,1706,0.0,0.0,0.0
Q2nD53czjdlzN1l,1707,0.0,0.0,0.0
Q2nD53czjdlzN1l,1708,0.0,0.0,0.0
Q2nD53czjdlzN1l,1709,0.0,0.0,0.0
Q2nD53czjdlzN1l,1710,0.0,0.0,0.0
Q2nD53czjdlzN1l,1711,0.0,0.0,0.0
Q2nD53czjdlzN1l,1712,0.0,0.0,0.0
Q2nD53czjdlzN1l,1713,0.0,0.0,0.0
Q2nD53czjdlzN1l,1714,0.0,0.0,0.0
Q2nD53czjdlzN1l,1715,0.0,0.0,0.0
Q2nD53czjdlzN1l,1716,0.0,0.0,0.0
Q2nD53czjdlzN1l,1717,0.0,0.0,0.0
Q2nD53czjdlzN1l,1718,0.0,0.0,0.0
Q2nD53czjdlzN1l,1719,0.0,0.0,0.0
Q2nD53czjdlzN1l,1720,0.0,0.0,0.0
Q2nD53czjdlzN1l,1721,0.0,0.0,0.0
Q2nD53czjdlzN1l,1722,0.0,0.0,0.0
Q2nD53czjdlzN1l,1723,0.0,0.0,0.0
Q2nD53czjdlzN1l,1724,0.0,0.0,0.0
Q2nD53czjdlzN1l,1725,0.0,0.0,0.0
Q2nD53czjdlzN1l,1726,0.0,0.0,0.0
Q2nD53czjdlzN1l,1727,0.0,0.0,0.0
Q2nD53czjdlzN1l,1728,0.0,0.0,0.0
Q2nD53czjdlzN1l,1729,0.0,0.0,0.0
Q2nD53czjdlzN1l,1730,0.0,0.0,0.0
Q2nD53czjdlzN1l,1731,0.0,0.0,0.0
Q2nD53czjdlzN1l,1732,0.0,0.0,0.0
Q2nD53czjdlzN1l,1733,0.0,0.0,0.0
Q2nD53czjdlzN1l,1734,0.0,0.0,0.0
Q2nD53czjdlzN1l,1735,0.0,0.0,0.0
Q2nD53czjdlzN1l,1736,0.0,0.0,0.0
Q2nD53czjdlzN1l,1737,0.0,0.0,0.0
Q2nD53czjdlzN1l,1738,0.0,0.0,0.0
Q2nD53czjdlzN1l,1739,0.0,0.0,0.0
Q2nD53czjdlzN1l,1740,0.0,0.0,0.0
Q2nD53czjdlzN1l,1741,0.0,0.0,0.0
Q2nD53czjdlzN1l,1742,0.0,0.0,0.0
Q2nD53czjdlzN1l,1743,0.0,0.0,0.0
Q2nD53czjdlzN1l,1744,0.0,0.0,0.0
Q2nD53czjdlzN1l,1745,0.0,0.0,0.0
Q2nD53czjdlzN1l,1746,0.0,0.0,0.0
Q2nD53czjdlzN1l,1747,0.0,0.0,0.0
Q2nD53czjdlzN1l,1748,0.0,0.0,0.0
Q2nD53czjdlzN1l,1749,0.0,0.0,0.0
Q2nD53czjdlzN1l,1750,0.0,0.0,0.0
Q2nD53czjdlzN1l,1751,0.0,0.0,0.0
Q2nD53czjdlzN1l,1752,0.0,0.0,0.0
Q2nD53czjdlzN1l,1753,0.0,0.0,0.0
Q2nD53czjdlzN1l,1754,0.0,0.0,0.0
Q2nD53czjdlzN1l,1755,0.0,0.0,0.0
Q2nD53czjdlzN1l,1756,0.0,0.0,0.0
Q2nD53czjdlzN1l,1757,0.0,0.0,0.0
Q2nD53czjdlzN1l,1758,0.0,0.0,0.0
Q2nD53czjdlzN1l,1759,0.0,0.0,0.0
Q2nD53czjdlzN1l,1760,0.0,0.0,0.0
Q2nD53czjdlzN1l,1761,0.0,0.0,0.0
Q2nD53czjdlzN1l,1762,0.0,0.0,0.0
Q2nD53czjdlzN1l,1763,0.0,0.0,0.0
Q2nD53czjdlzN1l,1764,0.0,0.0,0.0
Q2nD53czjdlzN1l,1765,0.0,0.0,0.0
Q2nD53czjdlzN1l,1766,0.0,0.0,0.0
Q2nD53czjdlzN1l,1767,0.0,0.0,0.0
Q2nD53czjdlzN1l,1768,0.0,0.0,0.0
Q2nD53czjdlzN1l,1769,0.0,0.0,0.0
Q2nD53czjdlzN1l,1770,0.0,0.0,0.0
Q2nD53czjdlzN1l,1771,0.0,0.0,0.0
Q2nD53czjdlzN1l,1772,0.0,0.0,0.0
Q2nD53czjdlzN1l,1773,0.0,0.0,0.0
Q2nD53czjdlzN1l,1774,0.0,0.0,0.0
Q2nD53czjdlzN1l,1775,0.0,0.0,0.0
Q2nD53czjdlzN1l,1776,0.0,0.0,0.0
Q2nD53czjdlzN1l,1777,0.0,0.0,0.0
Q2nD53czjdlzN1l,1778,0.0,0.0,0.0
Q2nD53czjdlzN1l,1779,0.0,0.0,0.0
Q2nD53czjdlzN1l,1780,0.0,0.0,0.0
Q2nD53czjdlzN1l,1781,0.0,0.0,0.0
Q2nD53czjdlzN1l,1782,0.0,0.0,0.0
Q2nD53czjdlzN1l,1783,0.0,0.0,0.0
Q2nD53czjdlzN1l,1784,0.0,0.0,0.0
Q2nD53czjdlzN1l,1785,0.0,0.0,0.0
Q2nD53czjdlzN1l,1786,0.0,0.0,0.0
Q2nD53czjdlzN1l,1787,0.0,0.0,0.0
Q2nD53czjdlzN1l,1788,0.0,0.0,0.0
Q2nD53czjdlzN1l,1789,0.0,0.0,0.0
Q2nD53czjdlzN1l,1790,0.0,0.0,0.0
Q2nD53czjdlzN1l,1791,0.0,0.0,0.0
Q2nD53czjdlzN1l,1792,0.0,0.0,0.0
Q2nD53czjdlzN1l,1793,0.0,0.0,0.0
Q2nD53czjdlzN1l,1794,0.0,0.0,0.0
Q2nD53czjdlzN1l,1795,0.0,0.0,0.0
Q2nD53czjdlzN1l,1796,0.0,0.0,0.0
Q2nD53czjdlzN1l,1797,0.0,0.0,0.0
Q2nD53czjdlzN1l,1798,0.0,0.0,0.0
Q2nD53czjdlzN1l,1799,0.0,0.0,0.0
Q2nD53czjdlzN1l,1800,0.0,0.0,0.0
Q2nD53czjdlzN1l,1801,0.0,0.0,0.0
Q2nD53czjdlzN1l,1802,0.0,0.0,0.0
Q2nD53czjdlzN1l,1803,0.0,0.0,0.0
Q2nD53czjdlzN1l,1804,0.0,0.0,0.0
Q2nD53czjdlzN1l,1805,0.0,0.0,0.0
Q2nD53czjdlzN1l,1806,0.0,0.0,0.0
Q2nD53czjdlzN1l,1807,0.0,0.0,0.0
Q2nD53czjdlzN1l,1808,0.0,0.0,0.0
Q2nD53czjdlzN1l,1809,0.0,0.0,0.0
Q2nD53czjdlzN1l,1810,0.0,0.0,0.0
Q2nD53czjdlzN1l,1811,0.0,0.0,0.0
Q2nD53czjdlzN1l,1812,0.0,0.0,0.0
Q2nD53czjdlzN1l,1813,0.0,0.0,0.0
Q2nD53czjdlzN1l,1814,0.0,0.0,0.0
Q2nD53czjdlzN1l,1815,0.0,0.0,0.0
Q2nD53czjdlzN1l,1816,0.0,0.0,0.0
Q2nD53czjdlzN1l,1817,0.0,0.0,0.0
Q2nD53czjdlzN1l,1818,0.0,0.0,0.0
Q2nD53czjdlzN1l,1819,0.0,0.0,0.0
Q2nD53czjdlzN1l,1820,0.0,0.0,0.0
Q2nD53czjdlzN1l,1821,0.0,0.0,0.0
Q2nD53czjdlzN1l,1822,0.0,0.0,0.0
Q2nD53czjdlzN1l,1823,0.0,0.0,0.0
Q2nD53czjdlzN1l,1824,0.0,0.0,0.0
Q2nD53czjdlzN1l,1825,0.0,0.0,0.0
Q2nD53czjdlzN1l,1826,0.0,0.0,0.0
Q2nD53czjdlzN1l,1827,0.0,0.0,0.0
Q2nD53czjdlzN1l,1828,0.0,0.0,0.0
Q2nD53czjdlzN1l,1829,0.0,0.0,0.0
Q2nD53czjdlzN1l,1830,0.0,0.0,0.0
Q2nD53czjdlzN1l,1831,0.0,0.0,0.0
Q2nD53czjdlzN1l,1832,0.0,0.0,0.0
Q2nD53czjdlzN1l,1833,0.0,0.0,0.0
Q2nD53czjdlzN1l,1834,0.0,0.0,0.0
Q2nD53czjdlzN1l,1835,0.0,0.0,0.0
Q2nD53czjdlzN1l,1836,0.0,0.0,0.0
Q2nD53czjdlzN1l,1837,0.0,0.0,0.0
Q2nD53czjdlzN1l,1838,0.0,0.0,0.0
